省委书记 乡镇,他说过，当县委书记一定要跑遍所有的村，当市委书记一定要跑遍所有的乡镇，当省委书记一定要跑遍所有的县市区。
部门 报告 寻乌 深入研究 情况 身子 党员干部 问题 全面 总书记,党的十九大之后，习近平总书记又在有关部门报送的《寻乌扶贫调研报告》上专门作了批示，要求党员干部扑下身子，沉到一线，全面了解情况，深入研究问题。
码头 地头 田间 院子 方法 体验 车间 总书记 亲身 市场,关于调查研究的方法，习近平总书记指出：开展调查研究，要扑下身子、沉到一线，迈开步子、走出院子，到车间码头，到田间地头，到市场社区，亲自察看、亲身体验。
从严治党 问题 实际 现实 全面 群众 人民 经济社会 精神,调查研究要紧扣人民群众生产生活，紧扣经济社会发展实际，紧扣全面从严治党面临的现实问题，紧扣贯彻落实党的十九大精神需要解决的问题。
过程 问题 实情 血肉 联系 群众 难题 实招 人民 民情,要了解民情、掌握实情，搞清楚问题是什么、症结在哪里，拿出破解难题的实招、硬招，使调研的过程成为加深对党的创新理论领悟的过程，成为保持同人民群众血肉联系的过程，成为推动事业发展的过程。
屋子 扎堆 浮光掠影 自主性 成绩突出 作秀 形式主义 主动权 地方 稿子,针对一个时期内存在的“出发一车子、开会一屋子、发言念稿子”式的调研、扎堆调研、“作秀式”调研，习近平总书记强调：调查研究千万不能搞形式主义，不能搞浮光掠影、人到心不到的“蜻蜓点水”式调研，不能搞做指示多、虚心求教少的“钦差”式调研，不能搞调研自主性差、丧失主动权的“被调研”，不能搞到工作成绩突出的地方调研多、到情况复杂和矛盾突出的地方调研少的“嫌贫爱富”式调研。
草率地 下结论,要坚决反对在调查研究中走马观花、浅尝辄止、一得自矜、以偏概全，草率地下结论、做判断。
责任 事业,干部就要有担当，有多大担当才能干多大事业，尽多大责任才会有多大成就。
当官 干事,不能只想当官不想干事，只想揽权不想担责，只想出彩不想出力。
问题 思想 部分 干部 积极性 情况,当前干部队伍也存在种种复杂情况，一个突出问题是部分干部思想困惑增多、积极性不高，存在一定程度的“为官不为”。
明白 问题 症结 总书记 情况 针对性 对策,对这个问题，习近平总书记高度重视，强调要认真研究，把情况搞清楚，把症结分析透，把对策想明白，有针对性地加以解决。
油子 位子,决不能让那些做样子、混日子、要位子的“官油子”得势得利。
干部 真情 实际困难,要真情关爱干部，帮助解决实际困难，关注身心健康，让广大干部安心、安身、安业。
方面 政策 待遇,对基层干部特别是困难艰苦地区和奋战在脱贫攻坚第一线的干部，要给予更多理解和支持，在政策、待遇等方面给予倾斜。
创造性 干部 违纪 区分 缺乏经验 中因 积极性 广大干部 施策 大胆,为了更好地辩证施策，为干部大胆创新探索撑腰鼓劲，调动广大干部的积极性主动性创造性，习近平总书记提出了“三个区分开来”的要求：要把干部在推进改革中因缺乏经验、先行先试出现的失误和错误，同明知故犯的违纪违法行为区分开来；把上级尚无明确限制的探索性试验中的失误和错误，同上级明令禁止后依然我行我素的违纪违法行为区分开来；把为推动发展的无意过失，同为谋取私利的违纪违法行为区分开来。
时间 干部 精力 基层,切实为基层减负，让干部有更多时间和精力抓落实。
领导 机关 目的 中央,党中央把2019年作为“基层减负年”，目的就是从领导机关特别是从中央和国家机关改起，为基层干部松绑减负。
形式主义 领导 官僚主义 方法 工作作风 部门 解决问题 实质 总书记 目标,习近平总书记指出：各部门要把自己摆进去，对困扰基层的形式主义问题进行一次排查起底，主动认账，立行立改，注重从思想观念、工作作风和领导方法上找根源、抓整改，不定不切实际的目标，不开不解决问题的会，不发没有实质内容的文，不做“只留痕不留绩”的事，坚决克服形式主义官僚主义，切实把基层干部从一些无谓的事务中解脱出来。
形式主义 现象 官僚主义 地方,在今年的疫情防控工作中，有些地方还是出现了形式主义官僚主义现象。
表格 部门 急需 消毒水 教育局 市县 政府办 口罩 农村 地方,有的地方市县卫健局、应急局、政府办、县委办、妇联、教育局、农业农村局等都各自制作一份或几份表格，要求基层干部填写并迅速上报，这些表格的内容其实相差无几，但没有一个文件、一个部门帮乡镇解决急需的哪怕一个口罩、一瓶消毒水的问题。
方式 消耗 现象 总书记 精力 形式主义 基层干部 官僚主义 基层,对这种现象，习近平总书记进行了严厉批评，强调决不能以形式主义官僚主义的方式来给基层增加负担、消耗基层干部的抗疫精力。
精力 任务 表格 基层干部 基层 疫情,要防止各条线多头重复向基层派任务、要表格，让广大基层干部把更多精力投入到抓好疫情防控和复工复产一线工作之中。
机关 社会 领导 事业 干部 国家 体系 风向标 全党 关键,领导机关是国家治理体系中的重要机关，领导干部是党和国家事业发展的“关键少数”，对全党全社会都具有风向标作用。
小人 君子 之德,“君子之德风，小人之德草，草上之风必偃。”
总书记 效应 头雁 部分 关键,该书第九部分，习近平总书记对发挥“关键少数”的作用、形成“头雁效应”作了深入阐述。
病症 问题 病根,一些久拖难解的问题，病症在下面，病根却在上头。
上行下效 上率,上行下效，上率下行，上有所好、下必甚焉，千古一理。
干部 形式主义 官僚主义 中央 领导 全党,反对形式主义官僚主义中央怎么做，上层怎么做，领导干部怎么做，全党都在看。
领导 干部,各级领导干部要以身作则，说到的就要做到，承诺的就要兑现，一级带一级，一级做给一级看，自觉起示范带头作用。
同志 中央,首先从中央做起，中央政治局同志从我本人做起。
干事 做人,中央委员会的每一位同志都要勤勤恳恳为民，兢兢业业干事，清清白白做人。
